Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Male,22,Psychology,64.0,7.2,2.18,8.0,4,2.62
Female,21,Economics,62.3,4.2,2.14,7.2,7,3.14
Male,21,Engineering,47.1,7.2,2.82,6.0,10,3.23
Female,22,Psychology,60.4,9.4,2.92,6.5,11,2.8
Female,21,Computer Science,57.3,2.8,2.74,6.9,9,1.57
Male,22,Engineering,63.9,7.3,2.75,6.4,14,2.82
Male,21,Economics,59.4,3.0,3.36,8.1,14,2.27
Male,21,Economics,72.1,9.2,2.49,8.1,6,1.87
Female,20,Mathematics,54.5,6.1,3.41,8.4,4,2.72
Male,22,Mathematics,67.0,5.3,3.06,8.4,11,2.01
Female,21,Computer Science,55.8,6.4,3.23,6.3,16,2.53
Male,21,Engineering,65.9,5.2,2.05,7.0,15,1.63
Male,23,Psychology,72.7,9.2,3.18,6.4,12,2.55
Female,21,Psychology,83.0,6.3,2.81,5.8,8,2.37
Female,20,Computer Science,48.3,4.5,2.86,8.0,12,2.53
Male,20,Mathematics,81.4,6.8,3.57,5.0,4,2.02
Male,20,Computer Science,74.1,9.6,2.72,6.5,12,1.9
Female,20,Psychology,52.9,1.8,3.05,5.7,9,2.36
Male,19,Computer Science,64.2,3.4,3.32,7.8,12,3.52
Male,22,Business,54.7,3.1,2.68,5.6,1,3.29
Male,22,Psychology,30.1,5.9,2.62,7.8,15,3.31
Female,21,Economics,61.7,9.7,3.11,5.8,8,2.54
Male,22,Mathematics,53.2,7.9,3.21,6.7,8,3.41
Female,21,Engineering,48.5,9.0,3.41,6.5,8,2.61
Male,21,Mathematics,60.4,6.8,2.52,7.5,5,2.2
Male,19,Business,58.8,2.7,1.78,7.3,2,1.72
Female,21,Computer Science,78.8,6.5,2.9,7.4,7,2.05
Female,22,Economics,82.9,9.9,3.22,6.3,8,3.35
Male,21,Engineering,48.3,8.5,2.43,7.0,10,2.21
Female,19,Psychology,60.4,6.1,3.34,8.6,5,1.7
Female,21,Computer Science,89.7,3.9,2.99,9.4,15,3.37
Female,20,Business,50.2,7.3,3.39,5.9,8,3.08
Female,22,Business,71.9,10.1,3.4,6.0,8,1.96
Male,19,Computer Science,53.9,7.5,2.95,6.5,11,2.9
Male,19,Engineering,95.1,7.3,2.55,7.3,11,1.67
Male,20,Business,60.0,7.4,2.26,8.9,15,3.02
Female,21,Mathematics,55.4,4.8,2.8,7.5,8,2.19
Male,23,Psychology,68.9,3.3,2.09,6.4,13,3.32
Female,22,Engineering,49.1,2.5,3.19,6.8,9,2.32
Male,21,Engineering,64.6,9.1,2.52,7.8,12,2.76
Male,21,Business,35.9,10.5,2.54,5.3,12,1.76
Male,21,Engineering,56.4,5.2,2.87,7.7,7,2.46
Male,22,Computer Science,78.2,8.1,2.64,5.3,10,3.72
Female,20,Business,42.4,8.9,2.58,8.5,16,2.17
Male,20,Business,50.8,6.1,1.75,6.1,6,2.28
Female,20,Engineering,76.5,9.3,3.45,7.3,7,1.74
Male,19,Computer Science,85.1,8.0,2.27,6.8,9,2.92
Female,21,Computer Science,38.1,5.1,2.16,6.2,8,3.31
Male,21,Psychology,55.9,4.1,1.73,6.1,14,2.59
Female,21,Economics,53.5,7.8,2.64,6.3,11,3.11
Male,20,Economics,69.5,5.1,2.69,7.6,11,1.88
Female,22,Psychology,62.1,10.0,3.7,7.3,13,2.22
Female,19,Economics,70.5,3.9,2.61,6.1,7,1.7
Female,21,Mathematics,53.1,9.8,2.72,6.0,10,2.63
Female,19,Computer Science,41.5,3.3,3.52,7.0,7,2.24
Female,23,Economics,46.6,6.7,2.01,5.7,5,1.91
Male,22,Economics,62.8,5.7,3.57,7.4,8,3.33
Male,21,Engineering,77.7,7.6,3.31,6.1,10,2.71
Male,22,Engineering,60.4,5.6,2.18,9.0,14,1.82
Male,21,Business,70.6,3.6,2.1,6.8,3,2.21
Male,21,Psychology,59.6,8.1,2.58,7.7,7,1.96
Male,21,Engineering,69.9,6.7,3.24,7.7,11,1.63
Female,20,Psychology,57.7,6.4,3.24,5.4,13,2.98
Female,21,Psychology,39.9,3.6,1.94,7.5,2,3.5
Female,21,Business,48.6,3.3,3.06,7.1,3,2.59
Male,22,Psychology,63.2,11.6,2.74,7.4,5,2.16
Female,21,Economics,61.7,2.4,3.01,7.2,11,3.11
Male,19,Business,50.6,3.3,2.12,7.9,4,2.72
Female,20,Psychology,79.1,5.9,2.43,8.4,6,1.92
Male,22,Mathematics,52.9,7.9,2.31,6.1,12,2.81
Male,21,Computer Science,39.8,6.9,2.44,6.5,12,2.75
Female,23,Computer Science,58.6,8.0,2.75,8.2,6,2.67
Female,19,Engineering,58.3,8.3,3.03,5.6,7,3.42
Female,20,Economics,80.2,9.3,2.9,7.8,16,1.74
Female,19,Psychology,50.9,4.1,2.31,8.5,7,3.36
Male,21,Engineering,63.8,4.3,1.96,8.8,7,2.96
Female,21,Business,69.3,6.3,3.01,6.5,10,1.6
Female,22,Engineering,74.1,10.3,1.95,7.7,12,2.85
Male,21,Mathematics,76.0,8.0,3.13,6.8,13,3.14
Female,22,Computer Science,68.8,10.5,2.31,7.9,9,1.79
Male,21,Mathematics,76.2,5.8,2.37,8.9,16,1.75
Female,23,Mathematics,66.4,4.9,3.03,6.8,7,2.22
Male,20,Business,76.4,6.8,3.47,7.2,13,2.54
Male,22,Psychology,57.7,7.1,2.42,8.4,8,2.84
Male,22,Mathematics,57.9,6.1,2.82,6.0,14,3.07
Female,22,Economics,79.6,4.9,2.76,7.4,11,2.26
Female,21,Mathematics,47.3,8.5,2.62,7.2,5,2.62
Female,22,Mathematics,80.5,6.9,3.26,7.1,7,2.71
Female,19,Business,45.5,7.6,2.06,7.0,9,2.56
Female,20,Economics,82.9,7.4,2.27,8.6,12,2.62
Male,22,Economics,60.4,6.6,2.7,5.5,12,2.61
Female,20,Psychology,80.6,8.4,3.1,8.0,7,3.15
Female,21,Computer Science,59.4,5.2,3.71,7.0,3,2.52
Female,22,Psychology,71.9,5.3,2.27,7.3,15,2.93
Female,20,Mathematics,68.8,3.7,3.18,5.9,8,2.63
Male,21,Engineering,67.8,6.8,3.34,7.8,17,3.33
Male,22,Computer Science,69.1,7.3,2.68,8.3,16,1.68
Male,21,Business,70.6,6.8,2.55,8.8,9,3.03
Male,20,Engineering,46.7,6.9,2.97,5.9,14,2.23
Male,21,Business,72.6,7.9,3.12,6.9,17,2.08
Male,23,Economics,72.1,6.8,3.23,8.2,15,2.73
Male,21,Economics,66.6,9.9,2.75,5.5,6,3.57
Male,20,Engineering,55.5,8.3,3.48,5.7,15,2.04
Male,20,Mathematics,42.6,9.5,3.23,7.0,6,2.73
Female,20,Economics,39.0,3.3,2.13,7.4,14,2.33
Male,20,Business,66.1,3.6,2.82,8.7,13,2.74
Male,20,Psychology,73.5,3.4,2.34,8.0,9,2.24
Male,23,Psychology,57.9,4.7,3.32,7.7,7,2.92
Female,20,Economics,47.5,5.8,2.86,7.9,11,1.66
Male,21,Computer Science,52.6,2.8,1.92,5.4,5,2.89
Female,21,Mathematics,54.6,3.0,2.44,8.7,12,2.68
Female,20,Computer Science,39.3,8.6,3.5,7.3,16,3.37
Male,20,Business,52.6,7.0,2.49,6.9,4,2.99
Male,22,Computer Science,69.7,4.3,2.85,6.0,3,3.56
Female,22,Economics,59.3,8.3,2.67,6.1,9,3.06
Female,21,Economics,73.0,5.0,3.2,6.8,5,3.13
Male,19,Engineering,58.5,11.3,1.87,6.6,14,2.84
Male,21,Business,50.4,6.2,2.58,9.0,10,1.91
Female,21,Psychology,71.1,11.1,2.86,6.2,12,2.32
Male,19,Business,62.4,4.7,2.31,7.1,17,2.5
Male,21,Engineering,65.8,9.7,1.85,7.1,9,2.96
Female,19,Psychology,76.1,8.4,2.0,8.0,9,2.11
Male,21,Engineering,60.4,4.0,2.61,5.6,16,1.52
Female,22,Economics,45.7,1.6,2.59,7.3,5,1.71
Male,19,Computer Science,50.3,4.2,2.51,6.6,4,2.63
Female,21,Mathematics,75.3,7.6,2.73,6.7,5,2.47
Male,20,Psychology,82.9,7.6,1.75,5.4,10,2.67
Female,20,Mathematics,69.3,3.1,2.15,7.8,9,2.54
Female,21,Business,62.9,9.1,2.83,8.6,10,2.51
Female,22,Engineering,39.9,9.7,2.55,5.9,5,2.1
Male,23,Psychology,70.7,8.0,2.84,7.5,10,2.57
Male,21,Economics,66.1,11.8,2.39,5.8,13,2.44
Female,21,Psychology,86.5,5.5,2.95,6.8,12,1.94
Female,19,Mathematics,58.9,2.5,2.47,5.8,12,3.04
Female,22,Psychology,66.8,5.1,1.98,8.1,8,2.39
Male,22,Engineering,49.4,10.7,3.3,5.9,7,3.01
Male,20,Economics,75.9,5.8,2.86,7.9,10,2.92
Male,21,Business,71.0,7.3,2.63,7.3,13,2.13
Male,22,Mathematics,54.9,6.4,3.06,8.1,14,2.46
Female,21,Engineering,42.7,8.2,2.3,7.5,6,2.19
Male,21,Computer Science,68.8,8.1,2.29,7.9,13,2.51
Female,22,Computer Science,39.0,7.4,3.39,6.0,13,2.19
Male,22,Engineering,42.6,7.5,2.51,7.3,13,3.64
Female,21,Mathematics,41.2,7.1,1.88,6.9,9,2.33
Male,20,Economics,53.1,4.1,2.55,7.3,11,2.27
Male,21,Mathematics,60.9,9.8,2.78,7.8,12,1.4
Female,21,Mathematics,73.4,9.9,2.65,5.2,10,2.43
Female,21,Computer Science,53.6,6.4,2.35,6.6,6,1.85
Female,19,Business,54.3,5.3,2.78,7.9,6,2.96
Male,23,Business,59.1,2.0,3.27,7.8,14,1.86
Male,20,Psychology,50.7,4.8,2.39,8.1,13,1.85
Female,21,Computer Science,56.0,5.4,3.09,6.1,12,2.86
Female,20,Computer Science,47.8,9.6,3.39,6.3,14,2.8
Female,21,Mathematics,48.4,7.0,2.78,8.3,8,2.42
Female,19,Business,56.6,4.7,3.38,8.0,9,2.31
Male,20,Computer Science,73.7,7.0,2.63,6.8,9,2.28
Male,20,Psychology,53.6,10.2,2.28,5.3,9,2.62
Male,21,Computer Science,73.4,9.1,1.71,7.5,10,2.78
Male,21,Mathematics,67.2,2.6,2.19,7.7,9,2.84
Male,20,Mathematics,52.2,8.3,2.77,6.9,11,1.73
Female,20,Computer Science,79.1,9.4,2.06,6.7,13,3.05
Female,22,Engineering,48.7,8.1,2.72,5.5,13,3.08
Female,22,Psychology,74.1,12.6,3.01,8.3,10,1.78
Female,21,Psychology,92.0,5.3,2.67,8.6,15,1.79
Male,23,Mathematics,60.9,6.7,2.34,7.2,16,2.75
Male,22,Psychology,45.8,8.7,2.3,7.2,9,3.19
Female,21,Mathematics,95.4,4.3,2.61,6.0,14,2.84
Female,22,Economics,47.0,5.6,3.55,9.3,15,2.24
Male,20,Computer Science,52.2,10.5,3.63,7.3,13,2.93
Female,21,Engineering,59.9,9.9,2.87,7.8,9,2.64
Male,22,Business,55.1,4.3,2.69,6.4,17,2.72
Male,21,Engineering,59.5,10.5,3.63,7.9,8,2.56
Female,19,Mathematics,78.0,7.5,1.93,7.8,11,1.81
Male,19,Psychology,59.1,4.5,2.33,7.5,10,2.91
Male,22,Computer Science,57.0,9.3,3.48,6.3,7,2.61
Female,20,Business,87.2,4.8,3.08,9.1,11,3.39
Female,21,Psychology,72.5,6.2,2.74,6.3,10,2.63
Female,21,Psychology,62.3,7.1,2.97,6.2,13,3.33
Male,20,Engineering,94.0,3.5,2.22,8.0,5,2.76
Female,21,Business,47.1,7.4,3.04,6.2,10,2.33
Female,21,Business,53.3,5.1,3.01,6.6,12,2.85
Male,20,Economics,45.3,3.5,2.39,6.8,11,2.65
Female,20,Mathematics,72.3,10.1,3.01,6.3,8,2.31
Female,22,Psychology,72.8,5.8,3.03,7.5,13,1.85
Male,20,Psychology,77.7,3.6,2.43,8.3,14,1.77
Female,20,Engineering,59.3,6.6,3.65,5.9,10,2.05
Female,22,Business,33.7,5.1,1.99,8.0,14,2.36
Male,22,Engineering,46.4,7.9,2.13,8.2,9,1.58
Male,20,Business,59.7,12.4,2.53,6.4,5,2.86
Male,20,Mathematics,70.0,8.3,2.02,7.9,6,2.34
Female,20,Computer Science,66.7,8.0,2.98,5.1,15,2.53
Female,22,Business,66.6,6.1,2.71,6.4,5,2.98
Male,20,Business,44.6,3.6,1.96,7.7,15,1.8
Female,22,Engineering,86.4,9.1,3.38,8.1,11,2.99
Female,21,Engineering,82.6,12.0,2.57,8.1,17,3.08
Male,21,Psychology,63.7,8.9,2.64,6.7,9,2.08
Female,21,Engineering,79.2,4.8,3.32,8.2,6,3.45
Male,21,Economics,59.8,5.1,2.47,8.9,8,2.02
Female,20,Engineering,55.1,6.5,2.59,5.2,8,2.8
Female,21,Economics,65.8,7.9,1.89,8.1,4,2.69
Male,20,Business,82.1,3.0,2.07,8.0,6,1.76
Male,21,Computer Science,52.9,11.0,2.66,7.5,7,3.29
Male,20,Psychology,66.6,6.8,3.34,7.8,12,2.72
Male,20,Economics,51.6,8.5,2.94,5.3,14,2.65
Male,22,Psychology,52.1,7.6,2.72,8.7,6,2.92
Female,21,Mathematics,58.6,6.4,2.4,7.2,7,2.71
Male,22,Business,75.6,5.2,2.88,7.0,5,2.31
Male,22,Engineering,74.0,8.7,2.2,5.9,11,3.47
Male,22,Business,58.4,10.0,2.77,6.5,9,2.23
Female,23,Psychology,58.1,7.5,3.09,6.6,11,2.76
Male,21,Mathematics,54.6,8.2,2.01,6.0,3,2.71
Female,20,Mathematics,80.4,9.4,2.22,7.1,11,2.84
Female,22,Psychology,50.9,10.3,2.2,8.9,10,2.85
Male,21,Computer Science,65.3,8.8,2.78,8.2,10,1.73
Female,21,Business,57.7,9.8,2.4,8.5,10,2.04
Female,19,Engineering,55.3,6.7,2.49,5.6,14,2.81
Female,19,Economics,43.1,8.2,2.72,5.9,14,2.12
Female,22,Business,84.7,4.7,2.42,7.4,6,2.78
Female,21,Psychology,48.3,8.3,2.82,6.6,12,2.07
Male,21,Computer Science,54.1,5.6,2.84,7.0,10,2.05
Female,21,Engineering,65.1,9.7,2.96,7.4,15,1.74
Male,21,Computer Science,57.2,5.7,2.7,5.4,9,3.16
Female,22,Computer Science,58.7,5.9,3.11,5.5,14,1.78
Male,21,Economics,47.8,7.9,2.2,7.4,10,2.37
Female,22,Economics,60.7,7.6,3.59,6.0,14,3.35
Male,23,Economics,79.6,11.2,2.66,6.0,12,2.16
Male,22,Mathematics,41.0,3.2,2.71,5.8,15,2.37
Female,20,Psychology,79.7,6.0,3.47,5.3,15,3.48
Male,22,Economics,87.1,7.0,2.69,7.3,12,3.03
Male,22,Economics,79.1,4.6,2.59,7.3,14,2.9
Male,22,Psychology,60.4,2.9,2.64,7.7,9,2.17
Male,22,Economics,59.8,7.8,2.34,5.7,6,2.37
Female,19,Engineering,53.3,9.4,2.3,7.2,16,3.09
Male,21,Mathematics,72.7,5.9,2.86,6.3,10,2.48
Male,21,Business,78.9,8.1,2.31,6.8,5,3.16
Male,21,Mathematics,83.1,7.8,2.97,7.5,14,1.93
Female,22,Economics,46.5,8.3,1.96,5.8,9,2.66
Female,23,Engineering,80.4,8.4,3.34,6.9,5,1.66
Female,21,Mathematics,53.3,2.9,2.68,6.6,11,2.46
Male,21,Engineering,75.4,3.5,1.77,4.8,8,3.61
Female,21,Computer Science,75.9,5.3,2.91,8.4,6,2.15
Female,21,Business,56.2,6.7,2.41,8.9,10,2.38
Male,20,Psychology,71.8,5.8,1.91,8.1,2,3.14
Female,21,Economics,52.3,6.3,3.29,7.8,6,2.37
Male,21,Business,56.3,4.3,3.28,6.8,10,3.15
Male,23,Computer Science,65.0,7.2,2.47,8.6,2,3.0
Male,21,Psychology,88.2,5.4,2.77,8.6,7,2.15
Female,20,Computer Science,59.7,11.3,2.59,7.3,12,2.41
Female,22,Economics,76.1,8.0,2.59,6.2,11,2.79
Male,21,Computer Science,49.3,4.9,2.29,5.4,13,2.81
Male,22,Computer Science,67.3,7.1,2.9,5.2,10,2.66
Male,20,Mathematics,74.0,6.6,2.66,6.0,12,2.34
Male,20,Engineering,48.2,8.8,2.84,8.1,15,2.56
Female,22,Psychology,71.9,5.3,3.54,7.0,10,3.49
Female,20,Computer Science,51.0,11.6,2.36,5.2,12,2.15
Male,21,Business,75.4,4.0,2.21,4.7,9,1.71
Male,20,Business,60.1,7.5,3.15,7.4,11,2.5
Male,21,Psychology,92.5,6.0,2.37,6.9,15,2.75
Male,21,Psychology,60.1,6.9,2.55,6.8,13,2.82
Male,20,Psychology,72.2,4.4,2.9,8.7,9,2.03
Male,21,Psychology,43.1,4.6,2.82,5.7,15,2.68
Female,21,Economics,52.0,9.8,2.29,7.1,7,2.66
Male,20,Computer Science,64.9,7.4,3.04,5.8,9,2.7
Male,20,Computer Science,62.9,10.5,3.54,7.6,14,2.55
Female,20,Economics,55.0,7.0,1.84,6.8,10,2.74
Male,21,Mathematics,57.6,5.5,2.23,5.5,11,2.98
Male,20,Psychology,86.4,10.1,3.06,6.6,6,2.35
Female,19,Engineering,61.5,11.1,2.27,6.7,14,3.21
Female,21,Computer Science,66.3,8.5,2.84,8.7,5,2.5
Female,21,Computer Science,51.9,8.8,2.09,7.9,12,1.84
Female,22,Computer Science,75.6,7.4,2.94,7.0,8,2.5
Male,21,Economics,82.2,8.0,3.44,7.4,16,2.2
Female,21,Psychology,77.5,7.2,3.57,5.3,14,3.1
Female,20,Engineering,75.9,5.4,2.97,6.0,12,2.93
Female,19,Business,54.7,4.1,2.96,7.6,13,2.48
Male,22,Computer Science,64.0,8.9,3.13,7.0,7,2.35
Male,20,Psychology,55.4,7.5,2.28,7.5,8,2.82
Male,20,Computer Science,49.5,6.5,3.25,5.7,11,2.48
Male,20,Engineering,71.2,5.0,3.12,8.6,12,2.44
Male,22,Computer Science,78.3,6.6,2.26,5.6,7,3.0
Male,22,Engineering,75.6,7.5,2.75,7.2,9,3.26
Male,21,Engineering,62.3,5.5,2.48,6.7,8,2.87
Female,19,Computer Science,73.4,8.6,2.23,6.2,7,3.01
Female,20,Computer Science,51.3,10.1,2.0,7.5,12,3.13
Male,21,Business,48.7,10.2,2.26,7.3,9,1.66
Female,20,Mathematics,71.5,5.3,2.36,7.8,2,1.96
Female,20,Engineering,53.9,9.9,2.05,8.2,10,2.11
Female,21,Economics,69.9,4.5,2.56,5.8,13,2.39
Female,22,Mathematics,63.2,6.5,2.92,5.9,5,2.42
Male,22,Business,51.9,7.0,2.92,6.0,12,3.34
Male,21,Psychology,71.8,1.4,2.14,6.2,9,2.33
Female,22,Economics,75.6,6.7,2.79,7.7,14,2.83
Male,22,Computer Science,49.7,6.4,2.93,6.1,5,2.36
Female,20,Economics,47.9,7.7,2.62,5.8,13,2.07
Female,20,Mathematics,60.3,5.3,2.31,9.2,13,1.79
Male,21,Economics,63.7,12.2,2.47,6.6,16,2.88
Female,21,Psychology,36.4,9.2,2.74,7.8,14,1.89
Female,19,Economics,64.5,5.7,2.71,9.0,8,2.43
Male,19,Economics,53.3,11.0,2.39,8.4,4,1.74
Male,19,Business,76.0,7.9,2.69,4.7,12,2.72
Male,22,Mathematics,51.7,9.0,2.6,7.7,8,2.97
Female,22,Psychology,64.7,8.7,3.06,6.5,6,2.8
Male,20,Computer Science,78.8,8.0,2.06,7.9,4,2.97
